origin,target,distance
3174486,3174074,8.4
3174486,3174517,9.6
3174486,3174518,9.9
3174486,3174525,6.7
3174486,3174529,6.3
3174486,3174522,14.2
3174486,3174063,3.2
3174486,3174041,1.2
3174486,3174431,8.7
3174486,3174515,5
3174486,3174519,10.3
3174486,3174026,6.6
3174486,3174527,2.7
3174486,3174351,6.3
3174486,3174510,6.2
3174486,3174530,4.7
3174486,3174260,3
3174486,3174516,2.7
3174486,3174497,4.1
3174486,3174030,5
3174486,3174052,3.5
3174486,3174420,7.4
3174486,3174416,5.1
3174486,3174508,10.7
3174486,3174015,2.7
3174015,3174074,9.8
3174015,3174517,10
3174015,3174518,11.4
3174015,3174525,6.3
3174015,3174529,7.2
3174015,3174522,15.6
3174015,3174063,3.7
3174015,3174041,2.4
3174015,3174431,10.1
3174015,3174515,7.4
3174015,3174519,11.8
3174015,3174026,6.3
3174015,3174527,4.3
3174015,3174351,6.7
3174015,3174510,8.2
3174015,3174530,4.3
3174015,3174260,2.6
3174015,3174516,2.3
3174015,3174497,6.4
3174015,3174030,5.4
3174015,3174052,5.4
3174015,3174420,9.7
3174015,3174416,6.5
3174015,3174508,11.1
3174015,3174486,1.5
